sampleid,absolute-filepath,direction
sample1,SRR21556054,forward
sample1,SRR21556054,reverse
sample2,SRR21556053,forward
sample2,SRR21556053,reverse
sample3,SRR21556052,forward
sample3,SRR21556052,reverse
sample4,SRR21556051,forward
sample4,SRR21556051,reverse
sample5,SRR21556050,forward
sample5,SRR21556050,reverse
sample6,SRR21556045,forward
sample6,SRR21556045,reverse
sample7,SRR21556049,forward
sample7,SRR21556049,reverse
sample8,SRR21556048,forward
sample8,SRR21556048,reverse
sample9,SRR21556046,forward
sample9,SRR21556046,reverse
sample10,SRR21556044,forward
sample10,SRR21556044,reverse
sample11,SRR21556043,forward
sample11,SRR21556043,reverse
sample12,SRR21556042,forward
sample12,SRR21556042,reverse
sample13,SRR21556041,forward
sample13,SRR21556041,reverse
sample14,SRR21556040,forward
sample14,SRR21556040,reverse
sample15,SRR21556039,forward
sample15,SRR21556039,reverse
sample16,SRR21556035,forward
sample16,SRR21556035,reverse
sample17,SRR21556038,forward
sample17,SRR21556038,reverse
sample18,SRR21556037,forward
sample18,SRR21556037,reverse
sample19,SRR21556034,forward
sample19,SRR21556034,reverse
sample20,SRR21556033,forward
sample20,SRR21556033,reverse
sample21,SRR21556032,forward
sample21,SRR21556032,reverse
sample22,SRR21556031,forward
sample22,SRR21556031,reverse
sample23,SRR21556030,forward
sample23,SRR21556030,reverse
sample24,SRR21556029,forward
sample24,SRR21556029,reverse
sample25,SRR21556028,forward
sample25,SRR21556028,reverse
sample26,SRR21556026,forward
sample26,SRR21556026,reverse
sample27,SRR21555978,forward
sample27,SRR21555978,reverse
sample28,SRR21555976,forward
sample28,SRR21555976,reverse
sample29,SRR21555975,forward
sample29,SRR21555975,reverse
sample30,SRR21555974,forward
sample30,SRR21555974,reverse
sample31,SRR21555973,forward
sample31,SRR21555973,reverse
sample32,SRR21555972,forward
sample32,SRR21555972,reverse
sample33,SRR21555971,forward
sample33,SRR21555971,reverse
sample34,SRR21555970,forward
sample34,SRR21555970,reverse
sample35,SRR21555969,forward
sample35,SRR21555969,reverse
sample36,SRR21555968,forward
sample36,SRR21555968,reverse
sample37,SRR21555967,forward
sample37,SRR21555967,reverse
sample38,SRR21555965,forward
sample38,SRR21555965,reverse
sample39,SRR21555964,forward
sample39,SRR21555964,reverse
sample40,SRR21555963,forward
sample40,SRR21555963,reverse
