"","M33.g1.SNW","M38.g1.SNW","M40.g1.SNW","M44.g1.SNW","M50.g1.SNW","M73.g1.SNW","M74.g1.SNW","M75.g1.SNW","M79.g1.SNW","M81.g1.SNW","M82.g1.SNW","M85.g1.SNW","M89.g1.SNW","M94.g1.SNW","M53.g1.SNW","M41.g1.SNW","N44.g1.SNW","N49.g1.SNW","N50.g1.SNW","N51.g1.SNW","N52.g1.SNW","N65.g1.SNW","N66.g1.SNW","N67.g1.SNW","N68.g1.SNW","N76.g1.SNW","N77.g1.SNW","N78.g1.SNW","N782.g1.SNW","N79.g1.SNW","N84.g1.SNW","I13.g1.SBluG","I14.g1.SBluG","I15.g1.SBluG","I16.g1.SBluG","I18.g1.SBluG","I20.g1.SBluG","I21.g1.SBluG","I25.g1.SBluG","I26.g1.SBluG","I27.g1.SBluG","I28.g1.SBluG","I32.g1.SBluG","I33.g1.SBluG","I34.g1.SBluG","I35.g1.SBluG","I36.g2.SBluG","N100.g1.SBluG","N101.g1.SBluG","N102.g1.SBluG","N26.g1.SBluG","N28.g1.SBluG","N34.g1.SBluG","N37.g1.SBluG","N38.g1.SBluG","N40.g1.SBluG","N41.g1.SBluG","N43.g1.SBluG","N45.g1.SBluG","N46.g1.SBluG","N47.g1.SBluG","N87.g1.SBluG","N88.g1.SBluG","N95.g1.SBluG","N96.g1.SBluG","N97.g1.SBluG"
"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,98,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__Marine Group II;g__NA",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__NA;g__Methanomassiliicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Archaea;p__Thaumarchaeota;c__NA;o__NA;f__NA;g__*Nitrososphaera",404,0,13,117,0,0,31,0,0,0,0,0,0,351,0,0,0,58,70,0,67,0,16,0,132,34,0,0,0,0,217,0,0,0,118,28,14,0,0,0,0,0,17,30,0,24,0,36,0,0,0,112,225,28,342,0,0,0,1073,0,0,0,0,0,0,0
"k__Archaea;p__Thaumarchaeota;c__NA;o__NA;f__NA;g__NA",346,0,0,180,85,0,0,0,0,0,0,0,0,0,0,0,0,133,84,0,94,16,14,0,0,21,55,0,0,66,18,25,87,76,231,189,0,0,0,0,0,0,0,0,0,0,0,50,0,0,625,57,268,139,18,90,28,147,0,20,131,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Bryocella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Terriglobus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__NA;f__NA;g__*Solibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__NA;f__NA;g__Blastocatella",271,0,92,234,0,0,0,0,0,0,0,42,0,0,0,73,53,61,168,0,99,0,20,45,0,668,31,0,1889,267,60,0,308,165,205,166,0,0,0,0,0,96,32,0,0,0,0,0,0,0,0,175,257,83,472,228,39,0,0,19,399,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__NA;f__NA;g__Bryobacter",199,0,0,271,257,0,11,0,0,0,0,0,0,135,0,32,0,16,70,0,251,116,0,16,0,193,96,0,0,214,264,0,0,0,445,0,0,0,0,0,0,13,0,0,0,0,0,27,0,0,0,203,375,29,114,398,0,22,0,26,301,0,28,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__NA;f__NA;g__NA",1076,0,60,389,120,0,0,0,0,0,0,0,0,1609,0,48,118,418,77,0,341,172,248,103,125,0,24,76,12,0,443,1839,94,253,834,1009,0,0,0,0,0,27,0,0,0,0,0,11,0,0,959,464,1073,341,564,670,23,12,0,11,671,0,14,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__NA;f__NA;g__bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__NA;g__Aridibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Holophagae;o__NA;f__NA;g__Acidobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,48,0,0,0,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Holophagae;o__NA;f__NA;g__NA",75,0,31,19,0,0,0,0,0,0,0,0,0,124,0,51,36,0,0,0,43,0,0,22,194,53,0,0,0,0,59,0,0,0,65,299,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,51,145,24,316,0,12,0,0,0,99,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__NA;o__NA;f__NA;g__NA",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
