PlantID	SampleID	Plate	Location	Row	Col	Type	Collection_Date
H_001	CC_H_12	hyb03	H12	H	12	leaf	8_June
H_016	AA_E_03	hyb01	E03	E	3	leaf	8_June
H_029	DD_H_10	hyb04	H10	H	10	leaf	8_June
H_051	BB_E_11	hyb02	E11	E	11	leaf	8_June
H_092	AA_A_06	hyb01	A06	A	6	leaf	8_June
H_112	BB_A_08	hyb02	A08	A	8	leaf	8_June
H_117	CC_H_04	hyb03	H04	H	4	leaf	8_June
H_134	AA_G_10	hyb01	G10	G	10	leaf	8_June
H_145	DD_G_04	hyb04	G04	G	4	leaf	8_June
H_156	EE_E_07	hyb05	E07	E	7	leaf	8_June
H_157	AA_C_04	hyb01	C04	C	4	leaf	8_June
H_198	DD_G_05	hyb04	G05	G	5	leaf	8_June
H_209	BB_E_12	hyb02	E12	E	12	leaf	8_June
H_217	BB_E_08	hyb02	E08	E	8	leaf	8_June
H_241	CC_H_10	hyb03	H10	H	10	leaf	8_June
H_264	EE_F_10	hyb05	F10	F	10	leaf	8_June
H_274	EE_B_10	hyb05	B10	B	10	leaf	8_June
H_277	FF_H_09	hyb06	H09	H	9	leaf	8_June
H_289	EE_A_08	hyb05	A08	A	8	leaf	8_June
H_323	AA_G_07	hyb01	G07	G	7	leaf	8_June
H_337	EE_E_03	hyb05	E03	E	3	leaf	8_June
H_348	DD_C_02	hyb04	C02	C	2	leaf	8_June
H_358	FF_F_08	hyb06	F08	F	8	leaf	8_June
H_367	FF_E_09	hyb06	E09	E	9	leaf	8_June
H_396	AA_B_09	hyb01	B09	B	9	leaf	8_June
H_405	AA_B_11	hyb01	B11	B	11	leaf	8_June
H_430	BB_A_06	hyb02	A06	A	6	leaf	8_June
H_442	EE_B_11	hyb05	B11	B	11	leaf	8_June
H_463	EE_A_12	hyb05	A12	A	12	leaf	8_June
H_468	FF_E_04	hyb06	E04	E	4	leaf	8_June
H_497	BB_D_06	hyb02	D06	D	6	leaf	8_June
H_502	FF_C_03	hyb06	C03	C	3	leaf	8_June
H_538	EE_B_03	hyb05	B03	B	3	leaf	8_June
H_541	AA_E_07	hyb01	E07	E	7	leaf	8_June
H_562	BB_A_11	hyb02	A11	A	11	leaf	8_June
H_578	FF_A_01	hyb06	A01	A	1	leaf	8_June
H_621	AA_F_03	hyb01	F03	F	3	leaf	8_June
H_645	BB_E_03	hyb02	E03	E	3	leaf	8_June
H_649	DD_F_11	hyb04	F11	F	11	leaf	8_June
H_664	BB_H_08	hyb02	H08	H	8	leaf	8_June
H_672	CC_F_06	hyb03	F06	F	6	leaf	8_June
H_686	CC_H_08	hyb03	H08	H	8	leaf	8_June
H_697	EE_B_12	hyb05	B12	B	12	leaf	8_June
H_705	EE_G_02	hyb05	G02	G	2	leaf	8_June
H_729	AA_D_03	hyb01	D03	D	3	leaf	8_June
H_758	AA_H_08	hyb01	H08	H	8	leaf	8_June
H_029	JJ_F_07	hyb09	F07	F	7	rhizosphere	5_July
H_051	LL_E_08	hyb11	E08	E	8	rhizosphere	4_July
H_092	HH_H_10	hyb08	H10	H	10	rhizosphere	4_July
H_117	MM_F_09	hyb12	F09	F	9	rhizosphere	4_July
H_134	KK_H_10	hyb10	H10	H	10	rhizosphere	4_July
H_145	KK_B_02	hyb10	B02	B	2	rhizosphere	4_July
H_156	GG_C_10	hyb07	C10	C	10	rhizosphere	4_July
H_157	JJ_F_03	hyb09	F03	F	3	rhizosphere	4_July
H_198	JJ_H_01	hyb09	H01	H	1	rhizosphere	2_July
H_209	HH_E_02	hyb08	E02	E	2	rhizosphere	2_July
H_217	MM_G_12	hyb12	G12	G	12	rhizosphere	2_July
H_241	HH_G_03	hyb08	G03	G	3	rhizosphere	3_July
H_247	MM_B_08	hyb12	B08	B	8	rhizosphere	3_July
H_264	MM_A_09	hyb12	A09	A	9	rhizosphere	3_July
H_274	GG_A_03	hyb07	A03	A	3	rhizosphere	3_July
H_289	HH_E_10	hyb08	E10	E	10	rhizosphere	3_July
H_323	GG_F_01	hyb07	F01	F	1	rhizosphere	3_July
H_337	HH_G_11	hyb08	G11	G	11	rhizosphere	3_July
H_348	KK_D_03	hyb10	D03	D	3	rhizosphere	3_July
H_358	GG_B_04	hyb07	B04	B	4	rhizosphere	3_July
H_367	JJ_C_01	hyb09	C01	C	1	rhizosphere	5_July
H_396	KK_E_12	hyb10	E12	E	12	rhizosphere	5_July
H_405	MM_H_11	hyb12	H11	H	11	rhizosphere	5_July
H_430	GG_E_05	hyb07	E05	E	5	rhizosphere	5_July
H_442	KK_G_07	hyb10	G07	G	7	rhizosphere	5_July
H_463	KK_A_05	hyb10	A05	A	5	rhizosphere	5_July
H_468	JJ_E_04	hyb09	E04	E	4	rhizosphere	5_July
H_541	KK_C_06	hyb10	C06	C	6	rhizosphere	4_July
H_578	JJ_F_08	hyb09	F08	F	8	rhizosphere	4_July
H_621	LL_C_12	hyb11	C12	C	12	rhizosphere	3_July
H_645	MM_G_10	hyb12	G10	G	10	rhizosphere	3_July
H_649	MM_H_03	hyb12	H03	H	3	rhizosphere	3_July
H_664	JJ_B_06	hyb09	B06	B	6	rhizosphere	3_July
