PlantID	Genotype	Category	M_parent	F_parent	Field	Block
H_001	B73	inbred	B73	B73	G5C	G5Cblk1
H_002	B73xCML103	hybrid	CML103	B73	G5C	G5Cblk1
H_003	Mo18W	inbred	Mo18W	Mo18W	G5C	G5Cblk1
H_004	CML69	inbred	CML69	CML69	G5C	G5Cblk1
H_005	Mo17xCML69	hybrid	CML69	Mo17	G5C	G5Cblk1
H_006	Mo17	inbred	Mo17	Mo17	G5C	G5Cblk1
H_007	B73xMo18W	hybrid	Mo18W	B73	G5C	G5Cblk1
H_008	Mo17xOh43	hybrid	Oh43	Mo17	G5C	G5Cblk1
H_009	B73xCML69	hybrid	CML69	B73	G5C	G5Cblk1
H_010	Mo17	inbred	Mo17	Mo17	G5C	G5Cblk1
H_011	B73xOh43	hybrid	Oh43	B73	G5C	G5Cblk1
H_012	P39	inbred	P39	P39	G5C	G5Cblk1
H_013	Mo17xP39	hybrid	P39	Mo17	G5C	G5Cblk1
H_014	B73xP39	hybrid	P39	B73	G5C	G5Cblk1
H_015	B73xMo17	hybrid	Mo17	B73	G5C	G5Cblk1
H_016	B73	inbred	B73	B73	G5C	G5Cblk1
H_017	Oh43	inbred	Oh43	Oh43	G5C	G5Cblk1
H_018	Mo17xMo18W	hybrid	Mo18W	Mo17	G5C	G5Cblk1
H_019	Mo17xCML103	hybrid	CML103	Mo17	G5C	G5Cblk1
H_020	CML103	inbred	CML103	CML103	G5C	G5Cblk1
H_021	B73xP39	hybrid	P39	B73	G5C	G5Cblk2
H_022	B73xOh43	hybrid	Oh43	B73	G5C	G5Cblk2
H_023	P39	inbred	P39	P39	G5C	G5Cblk2
H_024	B73xMo18W	hybrid	Mo18W	B73	G5C	G5Cblk2
H_025	Mo17xCML103	hybrid	CML103	Mo17	G5C	G5Cblk2
H_026	Mo18W	inbred	Mo18W	Mo18W	G5C	G5Cblk2
H_027	Mo17	inbred	Mo17	Mo17	G5C	G5Cblk2
H_028	B73xCML69	hybrid	CML69	B73	G5C	G5Cblk2
H_029	B73	inbred	B73	B73	G5C	G5Cblk2
H_030	CML69	inbred	CML69	CML69	G5C	G5Cblk2
H_031	Mo17xP39	hybrid	P39	Mo17	G5C	G5Cblk2
H_032	Oh43	inbred	Oh43	Oh43	G5C	G5Cblk2
H_033	B73xCML103	hybrid	CML103	B73	G5C	G5Cblk2
H_034	Mo17xOh43	hybrid	Oh43	Mo17	G5C	G5Cblk2
H_035	Mo17xMo18W	hybrid	Mo18W	Mo17	G5C	G5Cblk2
H_036	Mo17xCML69	hybrid	CML69	Mo17	G5C	G5Cblk2
H_037	B73xMo17	hybrid	Mo17	B73	G5C	G5Cblk2
H_038	CML103	inbred	CML103	CML103	G5C	G5Cblk2
H_039	B73xOh43	hybrid	Oh43	B73	G5C	G5Cblk3
H_040	Mo17	inbred	Mo17	Mo17	G5C	G5Cblk3
H_041	B73xMo17	hybrid	Mo17	B73	G5C	G5Cblk3
H_042	Mo17xMo18W	hybrid	Mo18W	Mo17	G5C	G5Cblk3
H_043	B73xMo18W	hybrid	Mo18W	B73	G5C	G5Cblk3
H_044	CML69	inbred	CML69	CML69	G5C	G5Cblk3
H_045	Oh43	inbred	Oh43	Oh43	G5C	G5Cblk3
H_046	Mo17xP39	hybrid	P39	Mo17	G5C	G5Cblk3
H_047	Mo17xOh43	hybrid	Oh43	Mo17	G5C	G5Cblk3
H_048	B73xP39	hybrid	P39	B73	G5C	G5Cblk3
H_049	Mo17	inbred	Mo17	Mo17	G5C	G5Cblk3
H_050	CML103	inbred	CML103	CML103	G5C	G5Cblk3
H_051	B73	inbred	B73	B73	G5C	G5Cblk3
H_052	Mo17xCML103	hybrid	CML103	Mo17	G5C	G5Cblk3
H_053	P39	inbred	P39	P39	G5C	G5Cblk3
H_054	Mo18W	inbred	Mo18W	Mo18W	G5C	G5Cblk3
H_055	B73xCML103	hybrid	CML103	B73	G5C	G5Cblk3
H_056	B73	inbred	B73	B73	G5C	G5Cblk3
H_057	B73xCML69	hybrid	CML69	B73	G5C	G5Cblk3
H_058	Mo17xCML69	hybrid	CML69	Mo17	G5C	G5Cblk3
H_059	Mo17xMo18W	hybrid	Mo18W	Mo17	G5C	G5Cblk4
H_060	B73xMo17	hybrid	Mo17	B73	G5C	G5Cblk4
H_061	CML69	inbred	CML69	CML69	G5C	G5Cblk4
H_062	P39	inbred	P39	P39	G5C	G5Cblk4
H_063	Mo18W	inbred	Mo18W	Mo18W	G5C	G5Cblk4
H_064	B73	inbred	B73	B73	G5C	G5Cblk4
H_065	Oh43	inbred	Oh43	Oh43	G5C	G5Cblk4
H_066	B73xP39	hybrid	P39	B73	G5C	G5Cblk4
H_067	B73xCML103	hybrid	CML103	B73	G5C	G5Cblk4
H_068	Mo17xOh43	hybrid	Oh43	Mo17	G5C	G5Cblk4
H_069	B73xMo18W	hybrid	Mo18W	B73	G5C	G5Cblk4
H_070	B73xCML69	hybrid	CML69	B73	G5C	G5Cblk4
H_071	CML103	inbred	CML103	CML103	G5C	G5Cblk4
H_072	B73xOh43	hybrid	Oh43	B73	G5C	G5Cblk4
H_073	Mo17	inbred	Mo17	Mo17	G5C	G5Cblk4
H_074	Mo17xCML103	hybrid	CML103	Mo17	G5C	G5Cblk4
H_075	Mo17xP39	hybrid	P39	Mo17	G5C	G5Cblk4
H_076	Mo17xCML69	hybrid	CML69	Mo17	G5C	G5Cblk4
H_077	B73xCML103	hybrid	CML103	B73	G5C	G5Cblk5
H_078	CML103	inbred	CML103	CML103	G5C	G5Cblk5
H_079	B73	inbred	B73	B73	G5C	G5Cblk5
H_080	CML69	inbred	CML69	CML69	G5C	G5Cblk5
H_081	B73xMo18W	hybrid	Mo18W	B73	G5C	G5Cblk5
H_082	Oh43	inbred	Oh43	Oh43	G5C	G5Cblk5
H_083	P39	inbred	P39	P39	G5C	G5Cblk5
H_084	B73xMo17	hybrid	Mo17	B73	G5C	G5Cblk5
H_085	Mo17xOh43	hybrid	Oh43	Mo17	G5C	G5Cblk5
H_086	Mo17xMo18W	hybrid	Mo18W	Mo17	G5C	G5Cblk5
H_087	Mo17xP39	hybrid	P39	Mo17	G5C	G5Cblk5
H_088	Mo17	inbred	Mo17	Mo17	G5C	G5Cblk5
H_089	B73xP39	hybrid	P39	B73	G5C	G5Cblk5
H_090	B73xOh43	hybrid	Oh43	B73	G5C	G5Cblk5
H_091	Mo17xCML103	hybrid	CML103	Mo17	G5C	G5Cblk5
H_092	B73	inbred	B73	B73	G5C	G5Cblk5
H_093	Mo17xCML69	hybrid	CML69	Mo17	G5C	G5Cblk5
H_094	B73xCML69	hybrid	CML69	B73	G5C	G5Cblk5
H_095	Mo18W	inbred	Mo18W	Mo18W	G5C	G5Cblk5
H_096	Mo17	inbred	Mo17	Mo17	G5C	G5Cblk5
H_097	Mo17xCML69	hybrid	CML69	Mo17	G5C	G5Cblk6
H_098	Mo17xCML103	hybrid	CML103	Mo17	G5C	G5Cblk6
H_099	CML69	inbred	CML69	CML69	G5C	G5Cblk6
H_100	B73xOh43	hybrid	Oh43	B73	G5C	G5Cblk6
H_101	B73xP39	hybrid	P39	B73	G5C	G5Cblk6
H_102	B73xMo18W	hybrid	Mo18W	B73	G5C	G5Cblk6
H_103	Oh43	inbred	Oh43	Oh43	G5C	G5Cblk6
H_104	B73xCML69	hybrid	CML69	B73	G5C	G5Cblk6
H_105	CML103	inbred	CML103	CML103	G5C	G5Cblk6
H_106	B73xMo17	hybrid	Mo17	B73	G5C	G5Cblk6
H_107	B73xCML103	hybrid	CML103	B73	G5C	G5Cblk6
H_108	Mo17	inbred	Mo17	Mo17	G5C	G5Cblk6
H_109	Mo17xP39	hybrid	P39	Mo17	G5C	G5Cblk6
H_110	Mo17xMo18W	hybrid	Mo18W	Mo17	G5C	G5Cblk6
H_111	P39	inbred	P39	P39	G5C	G5Cblk6
H_112	B73	inbred	B73	B73	G5C	G5Cblk6
H_113	Mo18W	inbred	Mo18W	Mo18W	G5C	G5Cblk6
H_114	Mo17xOh43	hybrid	Oh43	Mo17	G5C	G5Cblk6
H_115	Mo17xCML69	hybrid	CML69	Mo17	G5C	G5Cblk7
H_116	B73xMo17	hybrid	Mo17	B73	G5C	G5Cblk7
H_117	B73	inbred	B73	B73	G5C	G5Cblk7
H_118	Mo17xP39	hybrid	P39	Mo17	G5C	G5Cblk7
H_119	P39	inbred	P39	P39	G5C	G5Cblk7
H_120	Mo18W	inbred	Mo18W	Mo18W	G5C	G5Cblk7
H_121	Mo17xMo18W	hybrid	Mo18W	Mo17	G5C	G5Cblk7
H_122	Mo17	inbred	Mo17	Mo17	G5C	G5Cblk7
H_123	CML69	inbred	CML69	CML69	G5C	G5Cblk7
H_124	B73xCML103	hybrid	CML103	B73	G5C	G5Cblk7
H_125	CML103	inbred	CML103	CML103	G5C	G5Cblk7
H_126	B73xOh43	hybrid	Oh43	B73	G5C	G5Cblk7
H_127	B73xCML69	hybrid	CML69	B73	G5C	G5Cblk7
H_128	Mo17xOh43	hybrid	Oh43	Mo17	G5C	G5Cblk7
H_129	Mo17	inbred	Mo17	Mo17	G5C	G5Cblk7
H_130	B73xMo18W	hybrid	Mo18W	B73	G5C	G5Cblk7
H_131	Mo17xCML103	hybrid	CML103	Mo17	G5C	G5Cblk7
H_132	B73xP39	hybrid	P39	B73	G5C	G5Cblk7
H_133	Oh43	inbred	Oh43	Oh43	G5C	G5Cblk7
H_134	B73	inbred	B73	B73	G5C	G5Cblk7
H_135	B73xCML69	hybrid	CML69	B73	G5C	G5Cblk8
H_136	Mo18W	inbred	Mo18W	Mo18W	G5C	G5Cblk8
H_137	Mo17xMo18W	hybrid	Mo18W	Mo17	G5C	G5Cblk8
H_138	P39	inbred	P39	P39	G5C	G5Cblk8
H_139	B73xOh43	hybrid	Oh43	B73	G5C	G5Cblk8
H_140	Mo17	inbred	Mo17	Mo17	G5C	G5Cblk8
H_141	Mo17xP39	hybrid	P39	Mo17	G5C	G5Cblk8
H_142	B73xCML103	hybrid	CML103	B73	G5C	G5Cblk8
H_143	B73xMo17	hybrid	Mo17	B73	G5C	G5Cblk8
H_144	B73xP39	hybrid	P39	B73	G5C	G5Cblk8
H_145	B73	inbred	B73	B73	G5C	G5Cblk8
H_146	CML69	inbred	CML69	CML69	G5C	G5Cblk8
H_147	CML103	inbred	CML103	CML103	G5C	G5Cblk8
H_148	Mo17xOh43	hybrid	Oh43	Mo17	G5C	G5Cblk8
H_149	B73xMo18W	hybrid	Mo18W	B73	G5C	G5Cblk8
H_150	Oh43	inbred	Oh43	Oh43	G5C	G5Cblk8
H_151	Mo17xCML103	hybrid	CML103	Mo17	G5C	G5Cblk8
H_152	Mo17xCML69	hybrid	CML69	Mo17	G5C	G5Cblk8
H_153	Oh43	inbred	Oh43	Oh43	G5C	G5Cblk9
H_154	B73xOh43	hybrid	Oh43	B73	G5C	G5Cblk9
H_155	Mo17xP39	hybrid	P39	Mo17	G5C	G5Cblk9
H_156	B73	inbred	B73	B73	G5C	G5Cblk9
H_157	B73	inbred	B73	B73	G5C	G5Cblk9
H_158	B73xMo18W	hybrid	Mo18W	B73	G5C	G5Cblk9
H_159	Mo17xCML103	hybrid	CML103	Mo17	G5C	G5Cblk9
H_160	P39	inbred	P39	P39	G5C	G5Cblk9
H_161	B73xCML103	hybrid	CML103	B73	G5C	G5Cblk9
H_162	B73xCML69	hybrid	CML69	B73	G5C	G5Cblk9
H_163	Mo18W	inbred	Mo18W	Mo18W	G5C	G5Cblk9
H_164	CML69	inbred	CML69	CML69	G5C	G5Cblk9
H_165	B73xMo17	hybrid	Mo17	B73	G5C	G5Cblk9
H_166	Mo17xOh43	hybrid	Oh43	Mo17	G5C	G5Cblk9
H_167	Mo17xMo18W	hybrid	Mo18W	Mo17	G5C	G5Cblk9
H_168	CML103	inbred	CML103	CML103	G5C	G5Cblk9
