Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR21833429,AMPLICON,500,5563000,PRJNA887535,SAMN31171306,Metagenome or environmental,3341446,"UNIVERSITY OF NEVADA, RENO",2016,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX17822893,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023350,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma324,SRP401402
SRR21833430,AMPLICON,500,9352500,PRJNA887535,SAMN31171305,Metagenome or environmental,5486711,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX17822892,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023349,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma323,SRP401402
SRR21833431,AMPLICON,500,6089000,PRJNA887535,SAMN31171304,Metagenome or environmental,3633441,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX17822891,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023348,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma322,SRP401402
SRR21833432,AMPLICON,500,10219000,PRJNA887535,SAMN31171303,Metagenome or environmental,6269891,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX17822890,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023347,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma321,SRP401402
SRR21833433,AMPLICON,500,5754000,PRJNA887535,SAMN31171302,Metagenome or environmental,3326013,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX17822889,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023346,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma320,SRP401402
SRR21833434,AMPLICON,502,9231278,PRJNA887535,SAMN31171014,Metagenome or environmental,5327250,"UNIVERSITY OF NEVADA, RENO",2018,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX17822888,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S010443,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma32,SRP401402
SRR21833435,AMPLICON,500,6976500,PRJNA887535,SAMN31171301,Metagenome or environmental,4060036,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX17822887,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023345,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma319,SRP401402
SRR21833436,AMPLICON,500,8061500,PRJNA887535,SAMN31171300,Metagenome or environmental,4961674,"UNIVERSITY OF NEVADA, RENO",2016,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX17822886,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023344,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma318,SRP401402
SRR21833437,AMPLICON,500,7729000,PRJNA887535,SAMN31171299,Metagenome or environmental,4790141,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX17822885,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023343,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma317,SRP401402
SRR21833438,AMPLICON,500,6848500,PRJNA887535,SAMN31171298,Metagenome or environmental,4063754,"UNIVERSITY OF NEVADA, RENO",2016,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX17822884,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023330,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma316,SRP401402
