OTUID,sample100,sample101,sample102,sample103,sample104,sample105,sample106,sample107,sample108,sample109,sample10,sample110,sample111,sample112,sample113,sample114,sample115,sample116,sample117,sample118,sample119,sample11,sample120,sample121,sample122,sample123,sample124,sample125,sample126,sample127,sample128,sample129,sample12,sample130,sample131,sample132,sample133,sample134,sample135,sample136,sample137,sample138,sample139,sample13,sample140,sample141,sample142,sample143,sample144,sample145,sample146,sample147,sample148,sample149,sample14,sample150,sample151,sample152,sample153,sample154,sample155,sample156,sample157,sample158,sample159,sample15,sample160,sample161,sample162,sample163,sample164,sample165,sample166,sample167,sample168,sample169,sample16,sample170,sample171,sample172,sample173,sample174,sample175,sample176,sample177,sample178,sample179,sample17,sample180,sample181,sample182,sample183,sample184,sample185,sample186,sample187,sample188,sample189,sample18,sample190,sample191,sample192,sample193,sample194,sample195,sample196,sample197,sample198,sample199,sample19,sample1,sample200,sample201,sample202,sample203,sample204,sample205,sample206,sample207,sample208,sample209,sample20,sample210,sample211,sample212,sample213,sample214,sample215,sample216,sample217,sample218,sample219,sample21,sample220,sample221,sample222,sample223,sample224,sample225,sample226,sample227,sample228,sample229,sample22,sample230,sample231,sample232,sample233,sample234,sample235,sample236,sample237,sample238,sample239,sample23,sample240,sample241,sample242,sample243,sample244,sample245,sample246,sample247,sample248,sample249,sample24,sample250,sample251,sample252,sample253,sample254,sample255,sample256,sample257,sample258,sample259,sample25,sample260,sample261,sample262,sample263,sample264,sample265,sample266,sample267,sample268,sample269,sample26,sample270,sample271,sample272,sample273,sample274,sample275,sample276,sample277,sample278,sample279,sample27,sample280,sample281,sample282,sample283,sample284,sample285,sample286,sample287,sample288,sample289,sample28,sample290,sample291,sample292,sample293,sample294,sample295,sample296,sample297,sample298,sample299,sample29,sample2,sample300,sample301,sample302,sample303,sample304,sample305,sample306,sample307,sample308,sample309,sample30,sample310,sample311,sample312,sample313,sample314,sample315,sample316,sample317,sample318,sample319,sample31,sample320,sample321,sample322,sample323,sample324,sample325,sample326,sample327,sample328,sample329,sample32,sample330,sample331,sample332,sample333,sample334,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample3,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample4,sample507,sample50,sample51,sample52,sample53,sample54,sample55,sample56,sample57,sample584,sample58,sample59,sample5,sample60,sample612,sample61,sample62,sample63,sample64,sample65,sample66,sample67,sample68,sample69,sample6,sample70,sample71,sample72,sample73,sample74,sample75,sample76,sample77,sample78,sample79,sample7,sample80,sample81,sample82,sample83,sample84,sample85,sample86,sample87,sample88,sample89,sample8,sample90,sample91,sample92,sample93,sample94,sample95,sample96,sample97,sample98,sample99,sample9
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,974,121,306,462,835,4,13,6,0,72,0,112,0,19,69,0,24,0,0,14,17,0,8,5,593,9,28,14,29,33,2,0,30,20,16,2,150,3,144,9,5,15,21,46,80,7,13,0,371,0,6,6,10,20,4,2,14,10,113,39,7,0,190,2,7,13,0,1,0,3,0,14,0,10,0,0,0,0,2,0,12,6,3,0,0,3,0,277,0,27,13,2,16,0,2,10,0,11,7,9,0,2,11,15,74,20,0,7,0,52,34,209,0,31,8,37,8,16,7,0,0,99,44,5,128,0,25,0,0,91,15,6,8,0,111,0,0,0,0,0,2,0,0,6,14,0,0,0,4,237,0,0,9,19,9,0,7,168,8,0,6,7,0,2,51,9,0,4,1935,0,5,19,2,36,5,22,0,70,4,0,5,8,6,72,0,0,21,156,0,24,7,7,167,21,3,5,19,26,6,6,23,15,0,16,29,5,50,0,0,234,6,0,0,0,29,5,15,2,40,0,9,0,0,23,38,4,0,0,43,0,7,0,0,0,38,32,7,0,36,19,0,0,29,0,7,5,22,8,0,68,60,0,0,0,27,0,0,8,150,0,7,341,15,25,4,7,0,199,4,626,70,22,124,19,3,42,35,4,2,0,0,10,523,0,18,3,30,19,0,0,0,63,2,0,4,5,108,0,29,5,12,0,10,151,6,0,4,0,0,44,119,0,0,10,0,0,2,0,3,4,0,182,9,10,2,0,4,2,19,0,5,0,9,562,4,5,44
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,1184,1104,413,839,1277,181,139,267,968,447,116,510,151,262,271,431,188,50,73,74,87,740,5,159,671,91,317,264,119,106,408,46,153,44,59,6,614,96,296,124,72,93,220,223,306,55,166,15,1158,121,40,78,102,216,206,651,119,310,798,155,61,128,762,122,186,710,45,106,64,155,1433,144,564,116,62,1009,1998,65,37,188,353,365,524,183,39,191,664,703,291,397,177,64,187,118,131,559,75,129,762,189,401,162,334,253,213,516,236,357,281,278,181,1025,490,363,159,276,102,788,181,86,303,225,403,57,214,690,810,574,292,593,41,916,475,64,476,1769,1028,442,155,850,242,839,265,315,186,17,13,0,58,283,262,146,284,742,200,772,1003,701,140,493,205,60,182,254,251,108,88,128,357,55,314,85,38,120,358,56,440,174,95,147,2113,49,103,111,437,473,173,834,443,59,275,62,552,338,197,13,196,348,345,93,1100,303,1439,326,236,205,257,70,550,641,306,250,407,70,111,154,151,123,666,26,188,376,118,138,221,313,172,399,418,1253,116,139,85,517,814,1301,393,22,123,182,170,162,235,14,555,542,127,163,63,252,342,387,214,548,86,483,0,988,450,93,92,461,133,43,85,255,86,234,109,909,388,224,94,123,136,77,308,122,468,0,46,125,138,116,64,16,127,177,0,192,199,198,71,0,53,915,594,131,389,492,567,321,1984,349,251,306,954,591,194,281,1037,466,491,845,415,844,818,613,1058,1179,2811,609,66,911,1570,1640,489,556,840,204,970,280,492,643,3059,106,539
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum,496,277,277,255,550,30,124,58,0,148,3,84,12,32,74,3,30,32,22,159,47,3,24,59,377,35,282,38,97,82,63,8,92,62,40,0,143,42,181,89,52,74,66,109,45,4,88,123,375,6,18,45,60,16,52,45,142,69,203,93,43,0,578,24,108,33,51,45,52,72,153,71,28,50,70,41,34,60,39,27,24,59,74,36,21,39,27,431,11,177,98,45,39,24,40,27,13,76,14,45,7,36,58,94,115,83,23,77,7,46,197,294,30,139,99,130,13,46,83,69,16,242,220,134,113,83,341,15,9,123,21,35,113,2,125,24,28,64,0,9,8,27,80,125,13,0,2,0,99,2,57,119,6,9,95,14,5,149,34,40,45,21,58,51,76,62,0,46,358,10,143,34,30,62,50,118,2,110,78,20,136,36,47,136,18,38,79,274,8,62,82,71,238,155,52,24,103,25,38,37,75,37,251,168,39,94,117,20,52,717,23,40,106,0,81,52,48,107,90,0,127,0,5,56,117,39,16,0,94,38,79,15,57,7,75,182,238,21,154,130,13,44,12,77,37,19,171,61,12,144,99,0,8,2,38,29,0,64,94,20,22,176,20,9,22,130,10,141,16,375,266,42,329,157,48,37,18,19,76,0,4,122,174,64,30,5,97,44,0,46,49,163,18,0,40,225,271,28,101,10,130,61,8,375,59,95,7,76,24,133,244,90,25,173,0,5,21,0,50,14,66,77,78,70,57,14,14,48,15,0,125,33,47,360,21,0,72
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae,894,1368,1164,1634,51,1181,1152,930,655,1441,327,1550,1170,795,482,796,668,455,185,340,464,1312,325,582,1940,375,634,675,697,647,488,52,1401,402,192,77,1456,724,203,369,650,727,574,1330,523,447,448,731,857,507,385,376,225,308,1012,458,999,570,53,558,310,248,2692,895,426,934,604,462,440,1450,1376,575,308,565,178,2582,1360,469,471,1437,314,149,1276,408,85,624,897,1204,336,1283,444,380,398,1034,262,1533,400,272,1293,871,1111,1079,1983,843,642,2877,533,667,883,1490,725,884,1714,1145,784,1177,856,609,1590,754,697,942,1067,1073,1255,2054,1683,2014,815,1263,9,1110,1196,83,1239,1502,1206,1624,1056,451,351,1226,830,1064,1317,4,2,0,14,773,556,1606,860,972,1083,1514,1324,2454,614,275,367,57,445,28,644,1699,351,584,1014,348,869,199,502,699,311,290,601,502,1041,663,1830,509,308,584,428,368,703,1135,965,446,555,214,1786,729,939,189,470,363,1031,275,1174,656,2461,971,94,619,856,221,666,1193,1920,233,786,70,220,407,639,872,1498,402,547,1080,421,229,735,239,164,145,652,1454,356,261,464,802,247,551,1762,148,1363,1325,1341,1384,612,340,1588,1179,923,886,185,979,644,666,1282,572,408,543,0,649,1025,716,545,34,516,530,243,184,242,742,476,2249,234,233,344,1047,980,651,370,452,2176,2,232,378,1595,581,274,582,1151,183,2,658,522,953,338,2,288,165,1347,335,664,208,1182,1353,1490,1391,613,829,1321,797,1335,1194,1030,982,1034,689,894,690,1718,377,2002,1046,1437,966,584,2491,3087,1185,1001,2519,1139,1343,2580,1809,1495,1410,1736,61,1023
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus,198,379,64,176,28,165,73,56,89,57,43,126,148,27,90,95,71,80,9,37,39,47,65,83,255,41,0,6,49,66,3,0,75,95,18,15,218,127,25,59,97,60,27,109,83,53,17,109,220,94,44,57,15,17,58,0,46,11,35,12,59,28,64,113,13,407,124,58,71,163,193,57,31,47,22,100,32,3,73,151,8,12,634,56,11,16,127,137,90,105,150,71,16,169,23,157,52,41,115,73,166,91,237,39,123,305,35,53,124,285,143,81,131,165,95,249,134,118,62,106,127,94,14,76,215,1125,47,547,356,137,2,125,142,19,172,282,53,446,93,108,86,126,384,118,272,0,0,2,2,26,104,485,353,145,202,70,232,192,111,32,18,6,53,2,48,273,163,40,115,27,157,12,53,27,4,20,190,48,116,75,148,78,21,94,11,12,64,10,107,43,2,78,68,43,232,20,51,19,317,34,107,89,249,144,8,47,37,66,30,208,201,35,95,35,4,21,120,189,89,34,57,132,72,0,171,43,15,17,71,134,9,13,88,111,61,158,114,12,132,66,226,179,157,80,139,143,89,109,25,196,152,25,67,8,148,69,0,60,106,139,83,46,130,68,13,0,37,32,81,318,73,10,62,22,177,163,16,18,199,0,68,104,158,18,46,4,108,26,0,128,95,164,76,0,68,21,131,63,88,46,177,223,107,131,60,55,90,44,59,84,2,15,160,34,139,54,43,15,280,37,165,129,60,154,175,29,178,14,70,280,56,446,233,193,94,6,262
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;__,52,90,28,13,58,0,3,4,0,1,0,20,0,0,0,0,4,2,4,6,0,0,12,5,22,7,39,0,31,5,0,2,7,0,0,4,3,7,4,2,2,5,10,17,0,0,8,0,0,0,7,5,0,0,1,0,7,3,11,6,4,0,0,0,11,6,0,2,3,2,0,9,0,10,2,0,0,3,2,15,0,2,7,3,0,2,0,0,0,1,7,2,8,0,2,0,0,8,0,0,0,0,0,3,7,0,5,10,0,6,0,33,7,6,5,34,0,6,0,0,5,9,12,7,11,0,17,10,5,3,5,7,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,7,0,4,0,0,0,5,0,0,6,10,0,5,2,6,0,2,0,0,4,20,5,3,5,0,2,9,2,0,7,9,0,9,3,2,7,0,3,11,0,0,0,2,0,8,16,0,4,7,0,0,3,4,5,0,5,5,0,12,0,6,17,0,7,19,0,8,4,5,2,4,0,2,0,2,13,6,4,2,0,2,0,0,0,0,0,11,2,24,0,0,0,0,0,0,0,0,4,4,19,0,0,21,0,0,0,2,0,0,0,2,0,7,0,0,0,8,4,2,11,8,64,0,10,55,23,0,13,0,2,0,0,0,12,1,0,0,0,7,2,0,0,0,3,0,0,0,47,20,2,2,6,10,8,0,13,7,0,0,6,0,3,4,10,0,6,0,0,0,0,0,0,0,0,32,0,2,0,0,0,0,0,2,0,0,62,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014,153,296,228,379,122,168,138,179,68,452,37,302,277,242,47,223,80,77,17,80,26,168,99,53,297,56,25,57,15,50,88,14,375,104,45,4,862,71,15,43,44,58,65,190,62,49,72,103,109,68,36,61,49,71,143,43,146,69,57,61,24,41,213,252,105,342,206,42,58,275,467,71,61,58,51,163,263,24,56,437,25,143,281,196,43,100,297,290,192,149,103,75,106,301,34,402,111,32,320,218,437,220,175,156,145,359,77,277,127,167,72,237,587,360,143,410,209,313,170,116,186,300,258,136,228,246,379,182,130,417,0,231,184,14,314,207,257,286,116,111,9,240,220,143,162,6,0,0,25,220,97,343,89,215,295,158,235,266,46,68,50,6,48,29,84,285,35,70,177,17,117,15,47,11,32,34,104,89,104,96,532,34,52,16,51,77,56,160,68,61,226,35,150,285,138,52,57,45,130,95,365,84,635,196,15,47,150,46,206,204,308,44,289,2,50,120,53,254,150,121,142,454,57,34,221,66,118,14,81,505,77,55,72,93,261,251,72,17,400,341,241,347,287,87,378,284,333,252,18,388,85,247,240,154,36,194,0,138,163,144,134,10,116,247,30,68,21,133,60,375,14,41,28,68,10,61,70,129,293,0,30,32,380,156,24,44,67,44,2,47,107,42,36,0,56,21,358,44,176,398,244,983,197,382,188,174,186,276,180,262,319,192,246,448,171,171,410,477,369,136,250,322,132,356,298,251,208,147,400,145,156,380,134,144,216,4,89
d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmatales;g__Izemoplasmatales,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__,109,103,37,91,229,172,66,139,247,63,42,74,120,63,69,125,29,182,36,15,75,422,80,40,101,46,28,86,36,53,33,39,252,43,9,10,381,22,7,42,54,105,122,159,45,78,8,24,29,113,30,77,26,115,19,8,107,18,3,3,32,61,90,529,23,336,137,81,68,143,266,25,15,180,20,9,60,31,40,381,2,54,57,16,126,19,72,131,59,146,37,17,23,144,20,285,54,26,162,102,265,46,239,78,78,316,25,127,303,339,218,35,221,130,34,119,234,76,420,74,155,284,4,70,78,384,76,317,191,107,0,114,131,0,222,249,22,243,271,35,60,130,109,74,135,0,0,0,3,54,353,323,107,172,93,4,176,186,81,27,10,2,12,124,20,146,76,38,119,17,115,6,47,53,8,48,211,35,51,59,54,80,5,55,35,46,30,4,102,38,8,14,61,59,171,65,10,31,77,54,62,33,244,121,2,53,56,99,2,72,252,20,67,121,2,17,13,215,86,224,69,137,12,21,76,37,13,19,15,174,43,60,115,78,45,136,181,22,161,60,144,289,36,37,229,76,102,346,24,110,58,113,175,15,49,165,78,13,75,679,43,30,117,56,51,0,48,181,32,76,45,27,62,118,91,53,42,24,128,0,20,37,93,27,47,61,112,6,0,54,44,203,32,0,33,31,29,32,66,156,91,198,176,86,93,39,91,123,232,53,2,43,187,24,401,129,38,300,162,76,64,226,178,277,89,12,293,212,135,429,87,456,172,59,122,2,173
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,40,0,0,51,0,0,0,0,42,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,29,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,25,120,0,10,0,0,0,0,0,0,0,0,0,17,0,0,5,3,16,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,2,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,3,0,0,3,0,10,0,45,8,0,57,0,0,0,0,0,0,0,21,0,0,0,0,0,15,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,44,0,0,2,2,8,0,0,0,47,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,32,0,0,0,0,0,0,0,0,28,0,0,0,68,0,0,0,0,0,0,36,0,0,0,0,136,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,36,0,0,11,0,5,20,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__Gastranaerophilales;g__Gastranaerophilales,119,52,6,160,6,39,105,108,12,207,10,107,47,2,8,25,29,37,0,4,18,5,15,42,121,26,0,0,26,32,0,0,264,32,6,2,89,41,11,12,40,14,6,28,9,21,10,28,61,6,15,18,0,2,32,0,62,0,2,8,29,9,65,23,0,59,67,34,38,58,24,19,2,2,0,12,0,0,20,60,0,0,44,33,0,4,42,33,74,38,31,42,0,23,18,22,18,6,24,103,50,13,70,18,61,250,4,6,53,40,0,32,13,43,4,77,50,47,18,78,110,96,10,33,179,58,15,121,8,13,0,2,4,2,164,58,0,75,91,0,0,13,36,57,48,0,0,0,0,13,23,93,18,51,94,4,4,6,45,2,0,0,7,4,10,152,2,11,117,3,80,0,40,38,0,2,4,11,50,24,40,33,6,78,0,0,2,0,12,54,0,14,14,18,14,6,7,0,3,4,16,24,52,68,0,3,14,17,3,73,136,6,9,0,0,0,21,96,88,10,21,65,2,0,159,4,0,0,0,50,0,2,25,14,16,27,62,3,71,80,84,138,54,30,120,4,44,50,4,23,64,2,0,0,10,0,23,0,39,0,38,11,24,50,0,0,6,45,44,158,13,0,7,5,79,65,2,6,60,0,2,55,179,0,69,17,57,2,0,18,2,6,23,0,17,6,89,2,15,0,10,119,12,13,52,35,4,42,10,50,0,0,0,27,76,2,12,0,119,5,11,41,22,12,43,2,59,2,7,19,29,78,39,369,2,0,38
