Sample,Woodrat_ID,Genotype,Q_bry,Sex,age_class,Year_collected,Season,Habitat
S018878,W115,N. lepida,0.000003,female,adult,2018,Spring,flats
S018080,W363,N. lepida,0.000003,female,adult,2019,Summer/Fall,flats
S018816,W019W020,N. lepida,0.000004,male,adult,2017,Summer/Fall,flats
S018830,W027W028,N. lepida,0.000004,male,adult,2018,Summer/Fall,flats
S018779,W073W074,N. lepida,0.000004,female,adult,2017,Spring,flats
S018791,W110,N. lepida,0.000004,female,adult,2017,Spring,flats
S018836,W116,N. lepida,0.000004,female,adult,2018,Summer/Fall,flats
S018850,W116,N. lepida,0.000004,female,adult,2017,Summer/Fall,flats
S018867,W116,N. lepida,0.000004,female,adult,2018,Spring,flats
S018793,W199,N. lepida,0.000004,female,adult,2017,Summer/Fall,flats
S018796,W199,N. lepida,0.000004,female,adult,2017,Spring,flats
S018861,W199,N. lepida,0.000004,female,adult,2018,Spring,flats
S018792,W239,N. lepida,0.000004,female,adult,2017,Spring,flats
S010417,W243,N. lepida,0.000004,male,adult,2019,Spring,flats
S010425,W243,N. lepida,0.000004,male,adult,2019,Summer/Fall,flats
S018817,W243,N. lepida,0.000004,male,adult,2018,Spring,flats
S018837,W243,N. lepida,0.000004,male,adult,2018,Summer/Fall,flats
S018832,W252,N. lepida,0.000004,female,adult,2018,Summer/Fall,flats
S018859,W252,N. lepida,0.000004,female,juvenile,2017,Summer/Fall,flats
S018797,W291,N. lepida,0.000004,male,juvenile,2017,Summer/Fall,flats
S018825,W271,N. lepida,0.000004,male,juvenile,2017,Summer/Fall,hill
S018826,W280,N. lepida,0.000004,male,adult,2017,Summer/Fall,hill
S018809,W290,N. lepida,0.000004,female,adult,2017,Summer/Fall,flats
S018820,W290,N. lepida,0.000004,female,adult,2018,Summer/Fall,flats
S018810,W304,N. lepida,0.000004,male,adult,2018,Spring,flats
S018871,W304,N. lepida,0.000004,male,adult,2018,Summer/Fall,flats
S018868,W320,N. lepida,0.000004,male,adult,2018,Summer/Fall,flats
S019705,W361,N. lepida,0.000004,male,adult,2018,Summer/Fall,flats
S019706,W361,N. lepida,0.000004,male,adult,2018,Summer/Fall,flats
S019709,W366,N. lepida,0.000004,male,juvenile,2018,Spring,flats
S019711,W368,N. lepida,0.000004,female,adult,2018,Summer/Fall,flats
S018805,W401,N. lepida,0.000004,male,adult,2017,Summer/Fall,flats
S019724,W411,N. lepida,0.000004,female,adult,2018,Summer/Fall,flats
S019727,W415,N. lepida,0.000004,female,juvenile,2018,Spring,flats
S019728,W415,N. lepida,0.000004,female,juvenile,2018,Summer/Fall,flats
S019737,W464,N. lepida,0.000004,female,adult,2018,Summer/Fall,flats
S023368,W494,N. lepida,0.000004,female,adult,2019,Spring,flats
S018376,W510,N. lepida,0.000004,male,adult,2019,Spring,flats
S023349,W512,N. lepida,0.000004,female,adult,2019,Spring,flats
S018397,W513,N. lepida,0.000004,male,adult,2019,Spring,flats
S023364,W515,N. lepida,0.000004,male,adult,2019,Summer/Fall,flats
S010424,W529,N. lepida,0.000004,female,adult,2019,Summer/Fall,flats
S018367,W529,N. lepida,0.000004,female,adult,2019,Spring,flats
S023307,W532,N. lepida,0.000004,male,juvenile,2019,Spring,flats
S023326,W532,N. lepida,0.000004,male,juvenile,2019,Summer/Fall,flats
S023327,W534,N. lepida,0.000004,male,adult,2019,Summer/Fall,flats
S023346,W534,N. lepida,0.000004,male,adult,2019,Spring,flats
S023347,W537,N. lepida,0.000004,female,adult,2019,Summer/Fall,flats
S023366,W537,N. lepida,0.000004,female,adult,2019,Spring,flats
S023367,W596,N. lepida,0.000004,female,adult,2019,Summer/Fall,flats
S019739,W601,N. lepida,0.000004,female,adult,2018,Summer/Fall,flats
S023348,W612,N. lepida,0.000004,female,adult,2019,Summer/Fall,flats
S018780,W242,N. lepida,0.000005,female,adult,2017,Spring,flats
S018839,W242,N. lepida,0.000005,female,adult,2018,Spring,flats
S018848,W246,N. lepida,0.000005,female,adult,2017,Spring,hill
S019763,W267,N. lepida,0.000005,male,adult,2018,Spring,hill
S018864,W269,N. lepida,0.000005,male,adult,2018,Summer/Fall,flats
S018875,W331,N. lepida,0.000005,male,adult,2018,Spring,flats
S018795,W339,N. lepida,0.000005,female,adult,2018,Summer/Fall,flats
S018824,W339,N. lepida,0.000005,female,adult,2018,Summer/Fall,flats
S019769,W339,N. lepida,0.000005,female,adult,2018,Spring,hill
S019703,W358,N. lepida,0.000005,male,adult,2018,Spring,flats
S019704,W358,N. lepida,0.000005,male,adult,2018,Summer/Fall,flats
S018063,W364,N. lepida,0.000005,female,adult,2019,Spring,flats
S019707,W364,N. lepida,0.000005,female,adult,2018,Summer/Fall,flats
S019708,W365,N. lepida,0.000005,male,juvenile,2018,Summer/Fall,flats
S018081,W384,N. lepida,0.000005,male,adult,2019,Spring,flats
S019713,W384,N. lepida,0.000005,male,adult,2018,Summer/Fall,flats
S019714,W384,N. lepida,0.000005,male,adult,2018,Summer/Fall,flats
S019717,W389,N. lepida,0.000005,male,adult,2018,Summer/Fall,flats
S019721,W393,N. lepida,0.000005,male,juvenile,2018,Summer/Fall,flats
S019734,W461,N. lepida,0.000005,female,adult,2018,Summer/Fall,flats
S023289,W498,N. lepida,0.000005,female,adult,2019,Spring,flats
S023329,W508,N. lepida,0.000005,female,adult,2019,Spring,flats
S018840,W211,N. lepida,0.000006,male,juvenile,2017,Spring,flats
S018856,W314,N. lepida,0.000006,male,adult,2018,Summer/Fall,flats
S018876,W314,N. lepida,0.000006,male,adult,2018,Summer/Fall,flats
S018790,W355,N. lepida,0.000006,male,adult,2018,Summer/Fall,flats
S019719,W391,N. lepida,0.000006,female,adult,2018,Summer/Fall,flats
S010404,W509,N. lepida,0.000006,female,adult,2019,Spring,flats
S018823,W291,N. lepida,0.000007,male,adult,2017,Summer/Fall,flats
S018872,W291,N. lepida,0.000007,male,adult,2018,Summer/Fall,flats
S018799,W305,N. lepida,0.000007,female,adult,2017,Spring,flats
S018807,W351,N. lepida,0.000007,male,NA,2017,Summer/Fall,flats
S018841,W351,N. lepida,0.000007,male,adult,2018,Spring,flats
S019732,W455,N. lepida,0.000007,male,adult,2018,Summer/Fall,flats
S018798,W166,N. lepida,0.000008,male,adult,2017,Spring,hill
S019793,W451,N. lepida,0.000009,female,adult,2018,Summer/Fall,hill
S019718,W390,N. lepida,0.000011,male,adult,2018,Summer/Fall,flats
S018812,W294,N. lepida,0.000025,female,adult,2017,Summer/Fall,flats
S023304,W500,N. lepida,0.012311,male,adult,2019,Spring,flats
S018801,W241,N. lepida,0.013291,male,adult,2017,Summer/Fall,flats
S019740,W602,N. lepida,0.016527,male,adult,2018,Summer/Fall,flats
S023288,W602,N. lepida,0.016527,male,adult,2019,Summer/Fall,flats
S018800,X446,N. lepida,0.020626,male,adult,2017,Spring,flats
S018835,X446,N. lepida,0.020626,male,adult,2017,Summer/Fall,flats
S018831,W352,N. lepida,0.024055,male,adult,2017,Summer/Fall,flats
S018827,W230,N. lepida,0.028968,male,NA,2018,Summer/Fall,flats
S019730,W418,N. lepida,0.031174,male,juvenile,2018,Summer/Fall,flats
S019720,W392,N. lepida,0.040984,male,adult,2018,Summer/Fall,flats
S023344,W511,N. lepida-bc,0.160728,female,adult,2019,Spring,flats
S018387,W370,N. lepida-bc,0.161922,female,adult,2019,Summer/Fall,flats
S019712,W370,N. lepida-bc,0.161922,female,juvenile,2018,Spring,flats
S010414,W516,N. lepida-bc,0.178366,female,adult,2019,Summer/Fall,flats
S018084,W516,N. lepida-bc,0.178366,female,adult,2019,Spring,flats
S023325,W607,N. lepida-bc,0.180689,male,adult,2019,Summer/Fall,flats
S019736,W463,N. lepida-bc,0.182039,male,adult,2018,Summer/Fall,flats
S018860,W325,N. lepida-bc,0.18525,male,adult,2017,Summer/Fall,flats
S019731,W454,N. lepida-bc,0.187394,male,juvenile,2018,Summer/Fall,flats
S018811,W334,N. lepida-bc,0.189997,female,adult,2017,Summer/Fall,flats
S019725,W412,N. lepida-bc,0.198032,male,adult,2018,Spring,flats
S019726,W412,N. lepida-bc,0.198032,male,adult,2018,Summer/Fall,flats
S010418,W495,N. lepida-bc,0.20422,female,adult,2019,Spring,flats
S018071,W385,N. lepida-bc,0.217697,female,adult,2019,Spring,flats
S019715,W385,N. lepida-bc,0.217697,female,adult,2018,Summer/Fall,flats
S019716,W385,N. lepida-bc,0.217697,female,adult,2018,Summer/Fall,flats
S018851,W219,N. lepida-bc,0.219693,female,adult,2018,Summer/Fall,flats
S018852,W219,N. lepida-bc,0.219693,female,adult,2018,Spring,flats
S019735,W462,N. lepida-bc,0.227621,NA,NA,2018,Summer/Fall,flats
S018877,X434,N. lepida-bc,0.255193,male,adult,2017,Summer/Fall,flats
S019741,X434,N. lepida-bc,0.255193,male,adult,2018,Spring,flats
S019742,X434,N. lepida-bc,0.255193,male,adult,2018,Summer/Fall,flats
S018794,W212,N. lepida-bc,0.316912,male,juvenile,2017,Spring,flats
S018849,W212,N. lepida-bc,0.316912,male,juvenile,2017,Summer/Fall,flats
S018813,W350,N. lepida-bc,0.321196,male,adult,2017,Summer/Fall,flats
S019733,W460,N. lepida-bc,0.324049,female,adult,2018,Summer/Fall,flats
S023328,W608,N. lepida-bc,0.341719,male,adult,2019,Summer/Fall,flats
S023345,W609,N. lepida-bc,0.357087,female,adult,2019,Summer/Fall,flats
S019702,W357,N. lepida-bc,0.357647,female,adult,2018,Spring,flats
S023287,W531,F1,0.438269,female,adult,2019,Spring,flats
S023306,W531,F1,0.438269,female,adult,2019,Summer/Fall,flats
S018857,W303,F1,0.487266,female,adult,2017,Spring,flats
S018858,W087W088,F1,0.488783,female,adult,2017,Summer/Fall,hill
S023369,W558,F1,0.500857,male,juvenile,2019,Summer/Fall,hill
S010416,W465,F1,0.502742,female,adult,2019,Spring,flats
S018377,W465,F1,0.502742,female,adult,2019,Summer/Fall,flats
S019738,W465,F1,0.502742,female,adult,2018,Summer/Fall,flats
S018854,W402,F1,0.503979,male,adult,2017,Summer/Fall,flats
S019723,W402,F1,0.503979,male,adult,2018,Summer/Fall,flats
S018828,W263,F1,0.50474,female,adult,2018,Spring,flats
S018846,W263,F1,0.50474,female,adult,2018,Summer/Fall,flats
S023302,W562,F1,0.505851,female,adult,2019,Summer/Fall,hill
S018853,W284,F1,0.512592,male,adult,2017,Summer/Fall,hill
S018829,W225,F1,0.518011,male,adult,2017,Summer/Fall,hill
S023370,W556,F1,0.530133,male,adult,2019,Summer/Fall,hill
S023303,W561,F1,0.538044,male,adult,2019,Summer/Fall,hill
S010421,W493,F1,0.552697,male,juvenile,2019,Summer/Fall,hill
S018399,W493,F1,0.552697,male,juvenile,2019,Spring,hill
S018356,W457,F1,0.571394,female,adult,2019,Summer/Fall,hill
S019795,W457,F1,0.571394,female,adult,2018,Summer/Fall,hill
S019700,W356,F1,0.585094,male,adult,2018,Spring,flats
S019701,W356,F1,0.585094,male,adult,2018,Summer/Fall,flats
S010402,W277,N. bryanti-bc,0.620161,male,adult,2019,Summer/Fall,hill
S018083,W277,N. bryanti-bc,0.620161,male,adult,2019,Spring,hill
S018818,W277,N. bryanti-bc,0.620161,male,juvenile,2017,Summer/Fall,hill
S019767,W277,N. bryanti-bc,0.620161,male,adult,2018,Summer/Fall,hill
S010408,W380,N. bryanti-bc,0.675729,male,adult,2019,Summer/Fall,hill
S018398,W380,N. bryanti-bc,0.675729,male,adult,2019,Spring,hill
S019773,W380,N. bryanti-bc,0.675729,male,adult,2018,Summer/Fall,hill
S018781,W065W066,N. bryanti-bc,0.699712,male,adult,2017,Spring,hill
S018822,W065W066,N. bryanti-bc,0.699712,male,adult,2017,Summer/Fall,hill
S018844,W283,N. bryanti-bc,0.706081,male,juvenile,2017,Summer/Fall,hill
S018866,W406,N. bryanti-bc,0.738708,male,adult,2017,Summer/Fall,hill
S019785,W443,N. bryanti-bc,0.811702,female,adult,2018,Summer/Fall,hill
S019791,W448,N. bryanti-bc,0.819685,male,adult,2018,Summer/Fall,hill
S018378,W130,N. bryanti,0.924386,female,adult,2019,Summer/Fall,hill
S018389,W130,N. bryanti,0.924386,female,adult,2019,Spring,hill
S018786,W130,N. bryanti,0.924386,female,adult,2017,Spring,flats
S018843,W130,N. bryanti,0.924386,female,adult,2017,Summer/Fall,hill
S018865,W130,N. bryanti,0.924386,female,adult,2018,Summer/Fall,flats
S019745,W130,N. bryanti,0.924386,female,adult,2018,Spring,hill
S019746,W130,N. bryanti,0.924386,female,adult,2018,Summer/Fall,hill
S018842,W288,N. bryanti,0.957538,female,adult,2017,Summer/Fall,hill
S010427,W378,N. bryanti,0.979451,female,adult,2019,Spring,hill
S018388,W378,N. bryanti,0.979451,female,adult,2019,Summer/Fall,hill
S019772,W378,N. bryanti,0.979451,female,juvenile,2018,Summer/Fall,hill
S023291,W563,N. bryanti,0.987331,male,adult,2019,Summer/Fall,hill
S023365,W431,N. bryanti,0.987711,female,adult,2019,Spring,hill
S019789,W447,N. bryanti,0.997914,male,adult,2018,Summer/Fall,hill
S019790,W447,N. bryanti,0.997914,male,adult,2018,Summer/Fall,hill
S018802,W213,N. bryanti,0.999904,male,adult,2017,Spring,hill
S023323,W522,N. bryanti,0.999921,male,adult,2019,Spring,hill
S023330,W527,N. bryanti,0.999993,female,juvenile,2019,Spring,hill
S010406,W182,N. bryanti,0.999994,male,adult,2019,Summer/Fall,hill
S018782,W182,N. bryanti,0.999994,male,adult,2017,Summer/Fall,flats
S019751,W182,N. bryanti,0.999994,male,adult,2018,Spring,hill
S019752,W182,N. bryanti,0.999994,male,adult,2018,Summer/Fall,hill
S019753,W182,N. bryanti,0.999994,male,adult,2018,Summer/Fall,hill
S019748,W150,N. bryanti,0.999995,female,adult,2018,Summer/Fall,hill
S018855,W281,N. bryanti,0.999995,male,adult,2017,Summer/Fall,hill
S019778,W422,N. bryanti,0.999995,male,juvenile,2018,Summer/Fall,hill
S019787,W446,N. bryanti,0.999995,female,adult,2018,Summer/Fall,hill
S019788,W446,N. bryanti,0.999995,female,adult,2018,Summer/Fall,hill
S019743,W053W054,N. bryanti,0.999996,female,adult,2018,Spring,hill
S018870,W071W072,N. bryanti,0.999996,female,adult,2017,Summer/Fall,hill
S019747,W139,N. bryanti,0.999996,male,adult,2018,Spring,hill
S018784,W143,N. bryanti,0.999996,female,adult,2017,Summer/Fall,hill
S018806,W143,N. bryanti,0.999996,female,adult,2017,Spring,hill
S018873,W176,N. bryanti,0.999996,female,adult,2017,Spring,hill
S018785,W178,N. bryanti,0.999996,female,adult,2017,Spring,hill
S019749,W178,N. bryanti,0.999996,female,adult,2018,Spring,hill
S019750,W178,N. bryanti,0.999996,female,adult,2018,Summer/Fall,hill
S019754,W183,N. bryanti,0.999996,male,adult,2018,Summer/Fall,hill
S019755,W192,N. bryanti,0.999996,female,adult,2018,Summer/Fall,hill
S019756,W192,N. bryanti,0.999996,female,adult,2018,Summer/Fall,hill
S019757,W194,N. bryanti,0.999996,male,adult,2018,Summer/Fall,hill
S018783,W197,N. bryanti,0.999996,male,adult,2017,Summer/Fall,flats
S018838,W197,N. bryanti,0.999996,male,adult,2018,Summer/Fall,flats
S019758,W197,N. bryanti,0.999996,male,adult,2018,Spring,hill
S010411,W201,N. bryanti,0.999996,female,adult,2019,Spring,hill
S018789,W214,N. bryanti,0.999996,male,adult,2017,Spring,hill
S018833,W215,N. bryanti,0.999996,female,adult,2017,Summer/Fall,hill
S018862,W215,N. bryanti,0.999996,female,adult,2017,Spring,hill
S018787,W217,N. bryanti,0.999996,female,juvenile,2017,Spring,hill
S018834,W217,N. bryanti,0.999996,female,juvenile,2017,Summer/Fall,hill
S019759,W217,N. bryanti,0.999996,female,adult,2018,Summer/Fall,hill
S018814,W228,N. bryanti,0.999996,female,juvenile,2017,Spring,hill
S018815,W236,N. bryanti,0.999996,male,adult,2017,Spring,hill
S019760,W256,N. bryanti,0.999996,male,adult,2018,Spring,hill
S019761,W257,N. bryanti,0.999996,female,adult,2018,Spring,hill
S019762,W257,N. bryanti,0.999996,female,adult,2018,Summer/Fall,hill
S018808,W270,N. bryanti,0.999996,female,adult,2017,Summer/Fall,hill
S019764,W270,N. bryanti,0.999996,female,adult,2018,Summer/Fall,hill
S018819,W273,N. bryanti,0.999996,male,adult,2017,Summer/Fall,hill
S019765,W274,N. bryanti,0.999996,male,adult,2018,Spring,hill
S019766,W274,N. bryanti,0.999996,male,adult,2018,Summer/Fall,hill
S018847,W278,N. bryanti,0.999996,female,juvenile,2017,Summer/Fall,hill
S018869,W295,N. bryanti,0.999996,male,juvenile,2017,Summer/Fall,hill
S010412,W299,N. bryanti,0.999996,male,adult,2019,Summer/Fall,hill
S019768,W299,N. bryanti,0.999996,male,adult,2018,Spring,hill
S018803,W333,N. bryanti,0.999996,male,adult,2017,Summer/Fall,flats
S018863,W333,N. bryanti,0.999996,male,adult,2018,Summer/Fall,flats
S018874,W333,N. bryanti,0.999996,male,adult,2018,Spring,flats
